team_name,team_number
disADVANCtagED,737
CR4ZY,738
XCN,739
Forcebuy,740
Ramboot,741
Hadouken,742
13th Hour,743
Valiance,744
Balderisnor,745
ex-Fury,746
HOLLYWOOD,747
fish123,748
The Foxes,749
proWince,750
Iceberg,751
CPH Wolves,752
fakeDOSPRO,753
spray'n'pray,754
Huzy,755
EoN,756
Rap Gang,757
ex-Riotous Academy,758
Vexilla,759
SofaKingGood,760
paiN,761
SYF,762
SetToDestroyX,763
Under 21,764
Spirit Academy,765
LDLC White,766
Sinisters,767
call it luck,768
Winstrike,769
RCTIC,770
MASSIVEimpact,771
DivisionX,772
Hawks,773
SIN,774
NOREG,775
StackEm,776
Masked,777
Immortals,778
Denmark,779
TTFU,780
C4,781
NoTag,782
Tenerife Titans,783
Fallen5,784
Ulti,785
Gravity,786
Without a Roof,787
S2N,788
Rugratz,789
Apeks,790
Bulgaria,791
ATMOS,792
ex-Manatee,793
Win Scrims Not Matches,794
ViNCO,795
h00liGaNz,796
Fragsport,797
Goliath,798
MxB,799
3 NEW 2 OLD,800
Normal People and Rustun,801
Project Lunacy,802
exceL,803
MAX,804
Nordic Warthogs,805
Titan,806
icsu,807
En av de lette,808
FENNEC ,809
Conquer,810
SLK,811
iYATi,812
Down To Frag,813
Ignite,814
Rebirth,815
XFORCE,816
Velocity,817
Rise and Grind,818
Prima,819
evicted,820
absolute mad lads,821
Demise,822
CSBL,823
Roar,824
wNv,825
lol123,826
Isak,827
ZZCY,828
AYB,829
Slaughter Rage Army,830
Serenic,831
Não Tem Como,832
PANTHERS,833
ex-Velocity,834
Orion,835
100 Thieves,836
SJ,837
ex-3DMAX,838
ex-Astral Authority,839
Station7,840
Warthox,841
FURIA,842
Fam143,843
Control,844
7642,845
HD,846
Org Incoming,847
SpeedRunners,848
Kinguin,849
K23,850
Formidable,851
Depre,852
Monky See Monky Do,853
ALTERNATIV,854
Space Soldiers,855
Brutality,856
All Knights,857
4dimensioN,858
Those Damn Canadians,859
Vexed,860
Niknexus,861
Vulkanbet,862
Damage Control,863
Ladon,864
Rynnäkköviikset,865
SP,866
Athletico Gold,867
Reflex,868
Singularity fe,869
Shidiots,870
Sparta,871
Kheegui,872
SoaR,873
LGB fe,874
RESOLUTE,875
MANS NOT HOT,876
Noble,877
YP,878
Deathtrap,879
v0rtex 5	,880
RUFUS,881
Onyx,882
Temp.no,883
Astral Influence,884
Overpowered,885
maquinas,886
dizLown,887
Black Dragons,888
Recon 5,889
Russian Street Party,890
FlipSid3 Africa,891
ex-Synthetik,892
EPG,893
thnakes,894
g3x,895
Hurricane Dolphin,896
gBots,897
Fierce,898
Weekend Warriors,899
In The Lab,900
Gux & Friends,901
ROYALS,902
Bizarre,903
Rebellion,904
WINside,905
DINQ,906
Ascent,907
NRG,908
Vireo.pro,909
Oceanic,910
Vantage,911
Windigo,912
LANg0ds,913
L4Org,914
Se7en,915
2019,916
miMo,917
vitrioL,918
Exsto,919
Mineski,920
Tengri,921
Kingpins,922
Rascal Jester,923
NiP,924
Whatever It Takes,925
Anxiety,926
eFuture,927
KPI,928
Reload,929
USSR,930
Yeah,931
maskinisterna,932
Sigma,933
Youngsters,934
ANOX,935
Zoctai,936
Zorka,937
Enter,938
MiTH.Maple,939
ex-Morior Invictus,940
CLG Red,941
Thunder Logic,942
fbg,943
LDDM,944
Supremacy,945
Cursive,946
Minttu,947
The Entourage,948
Arcade,949
bruto500,950
EnVyUs Academy,951
LiNE5 Academy,952
ex-Naventic,953
ViCi,954
Flow,955
zzz,956
Carpe Noctem,957
Gorilla Core,958
pharsyde,959
Main Street,960
Renegades,961
Gatekeepers,962
Wubbalubbadubdub,963
Next Generation,964
France,965
HAVU,966
AUGUST,967
Replays.net,968
MIKSTURA,969
CHAOS,970
W7M,971
Legends,972
Rekt,973
Dutch Prodigy,974
Golden Children,975
Samurai,976
NOVA,977
Born in Mongolia,978
Warriors,979
AGF,980
Luccini,981
Buckets,982
cantwinalan,983
Exdee,984
KoN Sweden,985
Bragantino,986
tomorrow,987
Dynasty,988
Noxide,989
Stormborns,990
PixelFire,991
8EASY,992
CeX,993
Party Astronauts,994
Digital Wave,995
Fierce Tiger,996
Parallax,997
Pathless,998
Ambition,999
RivaL,1000
Luminosity,1001
Epsilon Hype,1002
Red Reserve,1003
